Name,Category Primary,Subcategory,Pricing,Direct Link,Number of icons,Multiple Weights,Fill and Outline,Has Api,Figma Library
Iconify,Design-Systems,Icon-Libraries,Free,https://www.figma.com/community/plugin/735098390272716381/Iconify,100 000+,checked,checked,,
Material icons,Design-Systems,Icon-Libraries,Free,https://fonts.google.com/icons,3000+,checked,checked,checked,
Phospor icons,Design-Systems,Icon-Libraries,Free,https://phosphoricons.com,7000+,checked,checked,checked,
Glyphs,Design-Systems,Icon-Libraries,Free,https://glyphs.fyi,6000+,checked,checked,checked,checked
Tabler icons,Design-Systems,Icon-Libraries,Free,https://tabler-icons.io,4000+,,,checked,
Atlas icons,Design-Systems,Icon-Libraries,Free,https://atlasicons.vectopus.com,2000+,,,,
Remixicon,Design-Systems,Icon-Libraries,Free,https://remixicon.com,2000+,,,,
Unicode Characters,Design-Systems,Icon-Libraries,Free,https://www.vertex42.com/ExcelTips/unicode-symbols.html,,,,,
