Name,Attachments,Category Primary,Categories All,Priority,Pricing,Description,Direct Link,Slug
Podia,Podia-logo.png (https://v5.airtableusercontent.com/v2/24/24/1703844000000/8PeMVIMHUFdDFnyEOK5X8g/r52ACuw15NFihOdTk89zPJAdRcU579MzAQO_Lm1lTC78S2ZDq3zEVPfuX1Cy4EI3IuYLHbEu6irx7Uj6P_1yf58L8Tnh-IDmjV3AVUa_7O5OBP7Zo9rOyuKgdEdVnJGIid63xQF4s7x2HRZ1vkY3CA/aO2bOuretmFamM9Hhy2fxmAgfMDVLnI09xYkmqwf024),UI Design,Website Builder,,Freemium,"A tool perfect for creating your own online courses, selling online files or consultations",https://www.podia.com,Podia
Stark,image.png (https://v5.airtableusercontent.com/v2/24/24/1703844000000/ONAzI1XvdsX8gIzFtKvECA/v0qofYIs-pwsFHoCWDW5L5lqdBqI6Ax5Oz62ihiARuPoOKwPHEHp-vmWLLjdVoNMkpl-4WXhsGXpSnqhB_SDHizvlo3db3R7Z7ypVB2DuZarnPReSbNI4nAYM6-4Vch57RR3_KFEuwdzVBuebZSFrg/tiTh7UQwzeMrs-Uj8fA68uQ-mrxtykuHRfm8cxqk3rw),Accessibility,"- Accessibility,-- Figma Plugins",4,Freemium,"User interface accessibility testing tool. Works as plugins to major design tools (Figma, Sketch...) and web browsers",https://www.getstark.co,Stark
Access Guide,image.png (https://v5.airtableusercontent.com/v2/24/24/1703844000000/9Y1yZ4vUWKzzzM3SGaUDHQ/tmnBhDb_uQ92nzq1pAxbxAKxdWL4VbOlsEb3pzXOMovvJASjjzF-UzGzmJRsJu6dn2fyMTuOpAO5b1vtG0nYrHSFtzp-FLaG38a3fgewOjmQ6JLAxhI_FM4AleCfW-RhUkQknk6sWVt4NsuIrrFbyQ/PCJs46JhzALezmvuAogCITY-kvELo3iQnqoIvLriJwQ),Accessibility,- Accessibility,3,Free,Friendly introduction to accessibility,https://www.accessguide.io,Access Guide
Whocanuse,image.png (https://v5.airtableusercontent.com/v2/24/24/1703844000000/zLtzy_SbeEvc33YXKTv2rw/2hhv6lw5Qz9NNtHDNDj5RxbHWepcXYu6odpSMS568Brt7M3D154bQvz3G0eEeaOcO8W8C8mqgOoMWg4QEx9uXdtSoO9_RfSZphrMHp-OxFlBEWFijzJASeMfrnxPNXn5GvHxD8aQIQAm2_P_rtldUA/bt6zbCmc7DnyhxKmnIxHQvUkdr5hi0ykQBeKkLSCiX4),Accessibility,- Accessibility,2,Free,Simulator of different types of colour blindness,https://www.whocanuse.com,Whocanuse
A11y Project,image.png (https://v5.airtableusercontent.com/v2/24/24/1703844000000/ZmxpOpCq0apitlsWdRYfnQ/rl82g8n4_HYqxfzbU0U9o3EE8xe4sMhFWRBpLQkNoncEntOS9KaMNR18VMWW_VdY_Z_uwdvVTmUT5Hs3M1HM5WlgE5nC3PFc-VDGDS-zHNtqfo7eLEb3MMviz4jICxsGnvgsUyCJfjkMzmSJwmeWgA/GLjTJdZituwC7MUFEmh-HJVNUazz_3I8cYWId3xvWe4),Accessibility,- Accessibility,1,Free,A community that aims to make digital accessibility easier,https://www.a11yproject.com,A11y Project
Accesibility Checker,AccessibilityCHecker.png (https://v5.airtableusercontent.com/v2/24/24/1703844000000/lxHZrP05Ng51oOOyXR1tUQ/GVtYwIef9yOc7jvb7RjdlnEmo2WD7MeewRKaSrJcXWtKFnDZKws7xwLRwDNFIWfX9-AR4MiwWVRUbKfcQrQZ0oJlJp9Jq1zKesPg8L1_RtFurOKkRBucvCFwZiPsuHk7uhhzhgrdHQ7Kgw4AafSi7cmIE7Ls2ZnTvvCF6Jjmryw/duVGx9t8U6deYjml-HQhHTa6kEKUl3yQ2Yrw1xkyNM8),Accessibility,- Accessibility,1,Freemium,A web page scanner that is able to identify how accessible a page is according to a chosen standard,https://www.accessibilitychecker.org,Accesibility Checker
Adee,Adee-Logo.png (https://v5.airtableusercontent.com/v2/24/24/1703844000000/fwi4B7PN5LjVF1yT6Xx6PA/ulAwvtR7mZRfgJjq8DxCEvFi2LOFicWOJOYbBlC0skXTNu0KR6ikb45VIEZcwGoFyYUMuBWZoBH4rrULfG99zff7P1y_96duwkGU-doW08RG9tKcqe7ytlrmLAXW_V_WOXIletDkK6P5I-XsSGXgOw/xneccuzzy3AdoK5wpXbqu-GICoRlK4_MpNOujyh7sjU),Accessibility,- Accessibility,,Trial,Tool for contrast control and visualization of different types of color blindness,https://www.figma.com/community/plugin/931280467863251825/Adee-Comprehensive-Accessibility-Tool,Adee
Wave,Wave.png (https://v5.airtableusercontent.com/v2/24/24/1703844000000/TOumMKcii6ZAmJXNpUPzwQ/BOXIJYBulchPiFO9HI76jXc91DMRrM10zcloi37ypG0cuz2d5DCgaSM-X9T-V_d__R0gUZ0wkqeo0P7W6W8LLUrgJDQ6jl7-Tb2H1gmL27wYPtzkBTuoo0LS0czIgEz8MZDAxr4jeeh23k_omWg-SA/Uzg8D1hoJQJSifbp_atTSzxHmE5QKvRDCPCugKPurkE),Accessibility,- Accessibility,,Free,Web accessibility extension for web browsers by WebAim,https://wave.webaim.org/extension/,Wave
Contrast Figma Plugin,,Accessibility,"- Accessibility,-- Figma Plugins",,Free,Color contrast checker,https://www.figma.com/community/plugin/748533339900865323/Contrast,Contrast Figma Plugin
HTML_Codesniffer,HTML_Codesniffer.png (https://v5.airtableusercontent.com/v2/24/24/1703844000000/Zzbs281WyJD9doJeg3dHAA/L0wK9bamEGwf1fUMa13yX0OkU8-silX-I-gYm276M1h9bQTN3YuHVfxRcUQ5bwfM8JfzXzj4J9TOD03YCBEiTqPCk3zicwGglVMkwLntBNZvGSpcAiVTaPj2gXyCf4OVR1xwTyB0-hLBXWfsKr2xJw/3TCDaBiXvgv7BTkFHROgG2Fk8SJsR1cCiZBsErx1Vm8),Accessibility,- Accessibility,,Free,A tool that validates inserted code against the chosen WCAG standard,https://squizlabs.github.io/HTML_CodeSniffer/,HTML_Codesniffer
Chakra,image.png (https://v5.airtableusercontent.com/v2/24/24/1703844000000/0rTj5UQreF6mqyHINUQFaw/iaVuo_I4EDj3GhbLDqNP6ByKEbretGYcJ3aJ9B8kXibVdxa7RAsV2xaDA1b_F6ckNqaGoJeFEIBZhCRQ3ydsO_5hKT5WoRHS7O0Qq6oPeh_GhPon2T0764KaoZRY0rbgvLDlYKx0VoVf6ZRw1K8mSw/GTQ-XolLt6agj6As7FHTkylYTxXWn9LWnYNFhkEqC48),Design Systems,Component Libraries,4,Freemium, Design system framework with free component libraries for React and Figma,https://chakra-ui.com,Chakra
Material UI,image.png (https://v5.airtableusercontent.com/v2/24/24/1703844000000/IS5g82tbe9hFKHM00-T4qQ/OQ8LxW0CfhyHaQ90dcqPVai5Ve2lNxG5qYEHI1SgRiTtGJu3Uj5DtGAARrmQn9itKJgXeDa6pYh135JXQLJnlPlSfMVmLq01zFS9f9HKyEFC-hWc6mDuKXJpREnTjisRY1Ucfqzx9CAFsUMyEUDJWQ/VIhSfFiRshUpRdUIb3mDnACHPCNKAzifdgRhLDibEn0),Design Systems,Component Libraries,3,Freemium,Large open source framework with free React librar and paid library for Figma,https://mui.com,Material UI
Bulma UI kit for Figma,image.png (https://v5.airtableusercontent.com/v2/24/24/1703844000000/M9Rnz7ADyP3hDH2Cvh5KpQ/idVSWwg6DSN76b1jx1IEe3nK4D9CTO5xIqe0NYWw0O6d5TajSdou5_mvGwNKmOcNucYRJ9swhyPC_RYSjePZPWG21aMemRVzeE2hC3PCBDX8zls2EXCm4siM3WuyKfnh9EEz8wplVqpELVbfHSVu5g/3jAuhOG_TDybBIquOA6yqex8c-sakCTjbbQEUpUHyHM),Design Systems,Component Libraries,2,Free,Figma library created for the Bulma CSS framework,https://www.figma.com/community/file/1156212137289942407,Bulma UI kit for Figma
Flowbite,image.png (https://v5.airtableusercontent.com/v2/24/24/1703844000000/5yA59lYQENk7R-0Yr58pGg/7qLkfcngXLhXn0RNqEIgmxNaZqtZ1hjGQJljAz8fOueUBZlyGF2tXxcx79lE0DzSOAgLOKe79Q6pUI90GIu0m8l7copI8CqovTrdg0tsDIRh_OQ68NNiTjGFcnfmv33CfQsot1kqzOYlJXrCalPuBQ/2CwI5g-HCl79oTHUcQSxJhfDqj7tJLP0poaHKKrBrYA),Design Systems,Component Libraries,1,Freemium,"Large component library based on Tailwind that supports a number of technologies such as React, Vue, Angular... with design asssets in Figma",https://flowbite.com,Flowbite
Apple Design Resources – iOS 17 and iPadOS 17,image.png (https://v5.airtableusercontent.com/v2/24/24/1703844000000/3XqqChYJArA3HzKIkUeEpQ/iyu0E2O-Q-Udoj8GO1NVZ7LiELbPcKoB8iPxw9AbjaJXpq7hH5nmlJoZCEylgNB-QGVAGwer-yKCTwjE1HPJfPX26p0KKTA8ADm5AnTMMV0H8Bds3jOlsj7aBczJqlELQWyDdVya0HwsjZeB0VEiIw/nwGwFXRhooIzMam5VkFKaSzvAjpI9UKvn9NPbtpPFqw),Design Systems,"Component Libraries,Mobile Apps",,Free,Official comprehensive Figma UI library for iOS 17 and iPadOS 17,https://www.figma.com/community/file/1121065701252736567/iOS-16-UI-Kit-for-Figma,Apple Design Resources – iOS 17 and iPadOS 17
Cherry,CherryDesignSystem-Logo.png (https://v5.airtableusercontent.com/v2/24/24/1703844000000/F6ci_1_oHr7qarLrjBei5w/Y93lHQGXCiYhH5ClSn1UlG1fstPgdafMWwW_04eWpgei71Lpnn4G92OjQpjMf7mwhkiG44acSgV_mL35erQnGRnY-C99yRs1DQQ1xOtnP0_IqjdJCXowRxK2XTUlPEUqImcV6zv2JHlPun9HQioacmaj5gFNIILXiQ4uyrAJCAQ/ayD48PP7G4Oh76bjbgBTrqOlK-ekvSoFLYD6OF8jbrE),Design Systems,Component Libraries,,Free,Design system focused on WordPress with free FIgma Assets,https://cherry.design,Cherry
Bootstrap 5 UI KIT,image.png (https://v5.airtableusercontent.com/v2/24/24/1703844000000/DgFjldDSLLeE7e6qd4zuyA/pbdcsUHx4Kv48BFCZVZ6L8PVgwskJUbbogSyDA_U-vsaOFaGGm0iz-QjfSUswIRf8Se0C7ER8RWenFdNq9CMiL8LNpltTHHeL0ajbppjNU0DKizb8MYxMeWzthdjt8h25ib5EcxGcd9ehzzYskOjvQ/NSRQ-QntZSBSVSmQnnpsNsx4-z4He0No8BanN0FSPxs),Design Systems,Component Libraries,,Free,High quality Figma library for Bootstrap,https://www.figma.com/community/file/876022745968684318/Bootstrap-UI-Kit,Bootstrap 5 UI KIT
Material design UI Kit,image.png (https://v5.airtableusercontent.com/v2/24/24/1703844000000/Xipq9w2NXhzDILdc0KpVPg/kbDpy_MyZFK49MJq1XgvwD-50TmX0PBd9UFuwqSQW0ioMXowIs1cMZX0bXyDghSl4HCVCjYE938gTJPzI04AU912IbBnpq2IQb-f42y6xtnEuRCR0sXdZU1YXB-1gjaPDx9sJU-hFDJi6_ldknC4Xw/4tWlCWrtqEHb7DcGeWnAz-onNkgcATd9Hzuk-hUWfKU),Design Systems,Component Libraries,,Free,Material design documentation including the official Figma library,https://m3.material.io,Material design UI Kit
Android UI Kit,image.png (https://v5.airtableusercontent.com/v2/24/24/1703844000000/csD2AZgraeIShVVbKg7Knw/IFjhl2oGhwZ8Oic_AomoxMnL-H50FMCNEg-gm2KZRe2W1KVvq35eCJqDc7FivjVcw1Li9J97pD6Gqo5STdt4wtNBBR37SFtEAWCDXKAevIJsPDv_Xnm0iyf4oFJUacM72hXRC91LZUIf7Feq4guOMQ/NN219ENFMOZkN_9vzEMgX7fDSGGJUHMOY0Vr947RCHo),Design Systems,Component Libraries,,Free,The official UI library for Android apps from Material Design,https://www.figma.com/community/file/1237551184114564748/Android-UI-Kit,Android UI Kit
Untitled UI,UntitledUI-Logo.png (https://v5.airtableusercontent.com/v2/24/24/1703844000000/UNDk6swtkPoV241vJyWyQQ/i5Dl1O8_jNu0CtrFrtgTky4xnMtFgn79a3RnfBOKVCk-QXUhSNRhga3iVFih8o2--JPLmW9SL29vhwv89Z6Vmb4FwgiJKbHqVyZjoPd8WletpOQwqws1AlD487_0FPpUTudSazW3bDwPrQo0wG-K0A/8do5Xanaz52ZnH4W1Z9r1CS63EbZPP_gvxPlTvLc50s),Design Systems,Component Libraries,,Freemium,Large UI kit for Figma,https://www.untitledui.com/pricing,Untitled UI
NextUI,,Design Systems,Component Libraries,,Free,Visually impressive UI library for Next with Figma documents,https://nextui.org,NextUI
Iconify,image.png (https://v5.airtableusercontent.com/v2/24/24/1703844000000/28_6aeOBtC_QbckeSoTjKQ/hseIkz4XK-C0Ce5VsssmzlMbZCUBLFvXhxFN-B0PHim1Vu1Yluz31DkBqZjR094nMrCOST75Vr_GRzCghaV4RDymnmluJ9j_oLT6JSsXCLy7iLBaYFT0iCseevMJt4XgkBMMYSjuAl9ujSmEzZiK4A/pSInJhbRaa9ftbgOfMH_6jZTdG4Ai-wRppELy6J6098),Design Systems,"Icon Libraries,-- Figma Plugins",4,Free,"Dozens of popular icon libraries in one place, such as Material Design, FontAwesome, Phospor, Tabler and many more. Designers can use the Figma plugin and developers can use the open-source API.",https://www.figma.com/community/plugin/735098390272716381/Iconify,Iconify
Material icons,image.png (https://v5.airtableusercontent.com/v2/24/24/1703844000000/Q5B_xSI7qJMDg1Llj_wLgA/8rN51Zqn7WHJ0M3Rc5KpvdElPPDgkquMk2OqvpcomvLWv6iQ_XYgfzHxj0nVQBCFmAfl2YyQnxoo_VywThSXTujMxmWGtCf0oX8thX9LDyqBaEmO2wvAJjekD5g2o_ADs80ELJl2O0RveEsp_YL56A/N4BaSWgRE7bBpVK9tk2MmdB_9tU4SIt_8cqnlgBf6HY),Design Systems,"Icon Libraries,-- Figma Plugins",3,Free,Material icons have been a proven standard for years. They can also serve as a good source of inspiration for naming or inspiration for creating your own icons,https://fonts.google.com/icons,Material icons
Phospor icons,image.png (https://v5.airtableusercontent.com/v2/24/24/1703844000000/-TNShsHQeNqjxLwjiP4ciw/nnX-FjHe7skZ8cEEU1HFPpX-fQSuwdkNb7jWfCTRV2HRuYEKuNTlM-MoY1lqxYOKdwapawDBnIYaA_we6wDpM7F4eWMzu0VuTi35vNP7ZodCdRq9Xc_B_B05_AlPpxLF-_cqgf6Aj_5OmuUBGB-Azg/YpCziXXMsfZQ1hdFgi02ikf6kZT07XybOrUn_hmUvro),Design Systems,"Icon Libraries,-- Figma Plugins",2,Free,Over 7000 icons with adjustable size and style,https://phosphoricons.com,Phospor icons
Glyphs,image.png (https://v5.airtableusercontent.com/v2/24/24/1703844000000/mG9vvxtrUBt3_6iCTzCEbQ/uL_MHYs4zrf_cHSiAYONEboiqEh26dwhg6rR_mxSmLoXc6chh7pvjVRy6dzWtv3s4J807ROn8ZkYBnDDFgR8WlAKtSoEYgZ7yNYUMzC-JJqpWnMxQt5z3wpGGWRCA2YX05tKVtKapStj0nAXpjjgbA/nl6tuwJeN4RA9C9Uqts8s_B2cSM7BWJVtyodPWmKk8c),Design Systems,"Icon Libraries,-- Figma Plugins",1,Free,"Over 6000 icons, Figma file, Web components, Github repo, documentation... What more could you ask for?",https://glyphs.fyi,Glyphs
Unicode Characters,,Design Systems,Icon Libraries,,Free,"The fastest option, supported by all devices, just copy and paste",https://www.vertex42.com/ExcelTips/unicode-symbols.html,Unicode Characters
Tabler icons,image.png (https://v5.airtableusercontent.com/v2/24/24/1703844000000/8A7qZvAaTWfxhhsr8bsmeg/bVQwandJJhxTzuIAlwaNPBA9U_5zepg24dJvEHA9PqQ5JhvC1JqxDeXDZ7oHkdvXbs4F_8Zq-75vbJOywNfbeuVnJ2TAKEjuhN8ZDU5oWlqdIiU7ZzNtd4adbixeq93lJH5m3zNU2WExtVcq-dMFbw/5ZiThvMzE3NykHLWJ7gojF0JRMEB8Si8Ugwj0kAta2c),Design Systems,"Icon Libraries,-- Figma Plugins",,Free,"Gallery of more than 4000 icons in many graphic formats with support of technologies like React, Vue, Preact, Svelte, SolidJS and others",https://tabler-icons.io,Tabler icons
Atlas icons,image.png (https://v5.airtableusercontent.com/v2/24/24/1703844000000/WokDu6ECIxsq-YKxNTGqGw/FeDGcvMqsywhHF5kbvO9CH0A54KXXZgvT0KbOsojE086jShBc4BQ-X1auVJZ7X3nYnAaRABbrTfRKQDca8vuvsNKonBI6L8TjIFfrHjRNv0bTvtD5gW3MGD90Usgkw_vqrIE-613-IVW68NZzBx7HQ/wAA_dHppZRQyk_b4tFHSalUDU5yY6QG5cJlBBwzyWj4),Design Systems,"Icon Libraries,-- Figma Plugins",,Free,"Open source icon library, available in SVG format with variable stroke, web fonts, Figma, React, Vue and Flutter ready-to-use packages.",https://atlasicons.vectopus.com,Atlas icons
